,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
41,0,3,1,57,1,3,0.431,0.39,-14.139,0.333,5.85e-06,0.0962,0.51,125.896,2.4511166666666666,Summer,August,50's,D,Major,4/4
42,0,20,1,59,1,20,0.278,0.386,-10.112,0.861,0.00013,0.118,0.195,93.07,2.61555,Summer,August,50's,D#,Major,4/4
43,0,5,5,60,5,5,0.638,0.55,-13.077,0.697,0.0,0.0938,0.559,80.233,2.3886666666666665,Summer,August,50's,C,Major,4/4
44,0,2,1,61,1,2,0.586,0.597,-9.372,0.815,0.0,0.0965,0.968,148.918,2.4922166666666667,Summer,August,50's,D,Major,4/4
45,0,1,5,62,5,1,0.243,0.334,-10.097,0.838,3.16e-06,0.187,0.369,94.409,2.887783333333333,Summer,August,50's,C,Major,3/4
46,0,1,1,63,1,1,0.608,0.92,-6.792,0.714,0.0,0.138,0.965,92.385,2.50045,Summer,August,50's,Bb,Major,4/4
47,0,1,1,66,1,1,0.634,0.472,-13.086,0.962,0.0722,0.609,0.392,126.435,3.136,Summer,August,50's,A,Minor,4/4
48,0,10,1,67,1,10,0.523,0.509,-8.451,0.914,0.0,0.267,0.789,125.539,2.387783333333333,Summer,August,50's,D#,Major,4/4
49,0,21,1,68,1,21,0.409,0.406,-10.826,0.823,0.0,0.496,0.551,147.585,2.3666666666666667,Summer,August,50's,G,Major,3/4
50,0,37,1,72,1,37,0.598,0.692,-8.322,0.82,8.99e-06,0.0506,0.969,135.87,2.219333333333333,Summer,August,50's,D#,Major,4/4
51,0,28,1,74,1,28,0.688,0.668,-8.955,0.766,1.22e-06,0.137,0.893,134.042,2.7962166666666666,Summer,August,50's,G,Major,4/4
52,0,29,5,76,5,29,0.609,0.37,-12.451,0.532,0.0,0.118,0.931,140.309,1.976,Summer,August,50's,D,Major,4/4
53,0,4,1,77,1,4,0.714,0.464,-11.08,0.9,0.283,0.103,0.921,124.553,2.2046666666666668,Summer,August,50's,G#,Major,4/4
54,0,8,1,78,1,8,0.427,0.617,-13.57,0.217,0.0,0.151,0.926,165.836,2.486666666666667,Summer,August,50's,D,Major,4/4
55,0,18,3,80,3,18,0.534,0.803,-9.129,0.741,6.07e-05,0.307,0.969,167.983,2.6926666666666668,Summer,August,50's,Bb,Major,4/4
56,0,18,1,81,1,18,0.804,0.672,-12.503,0.777,2.02e-05,0.0747,0.947,109.508,2.1266666666666665,Summer,August,50's,C#,Major,4/4
57,0,4,1,82,1,4,0.662,0.648,-7.363,0.534,0.124,0.162,0.864,126.74,2.7973333333333334,Summer,August,50's,Bb,Major,4/4
