,False Positive Rate,True Positive Rate,Threshhold
0,0.0,0.0,1.9811511049577302
1,0.0,0.0015267175572519084,0.9811511049577303
2,0.0,0.024427480916030534,0.9621015538898353
3,0.0007102272727272727,0.024427480916030534,0.9598180196455863
4,0.0007102272727272727,0.02900763358778626,0.956438494789299
5,0.001065340909090909,0.02900763358778626,0.9547503917481854
6,0.001065340909090909,0.0366412213740458,0.9489528206454421
7,0.0014204545454545455,0.0366412213740458,0.94675415028668
8,0.0014204545454545455,0.03969465648854962,0.9446817439723244
9,0.0017755681818181818,0.03969465648854962,0.9402162324283696
10,0.0017755681818181818,0.04885496183206107,0.9352042179677167
11,0.0024857954545454545,0.04885496183206107,0.934896772836355
12,0.0024857954545454545,0.050381679389312976,0.9333945552977111
13,0.002840909090909091,0.050381679389312976,0.9328283812078273
14,0.002840909090909091,0.05343511450381679,0.9280713025254733
15,0.0031960227272727275,0.05343511450381679,0.927443541371468
16,0.0031960227272727275,0.0549618320610687,0.9268112360841169
17,0.004261363636363636,0.0549618320610687,0.9231817154674287
18,0.004261363636363636,0.05648854961832061,0.9226929031414468
19,0.004616477272727273,0.05648854961832061,0.92261589116638
20,0.004616477272727273,0.06412213740458016,0.9186489912115107
21,0.005326704545454545,0.06412213740458016,0.9138901383320834
22,0.005326704545454545,0.07480916030534351,0.9062225955551576
23,0.005681818181818182,0.07480916030534351,0.9059737955424654
24,0.005681818181818182,0.08091603053435115,0.8970122405026117
25,0.006036931818181818,0.08091603053435115,0.8967548932393692
26,0.006036931818181818,0.08244274809160305,0.8965951265298912
27,0.006392045454545455,0.08244274809160305,0.8945893599392072
28,0.006392045454545455,0.0900763358778626,0.8907796359960383
29,0.007102272727272727,0.0900763358778626,0.8883726845081023
30,0.007102272727272727,0.09312977099236641,0.887514650664972
31,0.007457386363636364,0.09312977099236641,0.8870250293783654
32,0.007457386363636364,0.09465648854961832,0.8861350796753834
33,0.008522727272727272,0.09465648854961832,0.8822544755377538
34,0.008522727272727272,0.09618320610687023,0.8795708925476582
35,0.00887784090909091,0.09618320610687023,0.8763308529101259
36,0.00887784090909091,0.10381679389312977,0.8707096373249423
37,0.009232954545454546,0.10381679389312977,0.8697245167611819
38,0.009232954545454546,0.10687022900763359,0.8691043588903011
39,0.009588068181818182,0.10687022900763359,0.8656331298729513
40,0.009588068181818182,0.1083969465648855,0.8639933494081163
41,0.009943181818181818,0.1083969465648855,0.8639767987810444
42,0.009943181818181818,0.11297709923664122,0.8604833754600535
43,0.010298295454545454,0.11297709923664122,0.8602801706241692
44,0.010298295454545454,0.11908396946564885,0.8581678293024436
45,0.011008522727272728,0.11908396946564885,0.8572527504204449
46,0.011008522727272728,0.12061068702290076,0.8565158222291216
47,0.012073863636363636,0.12061068702290076,0.8553217170890459
48,0.012073863636363636,0.1282442748091603,0.8540009479572706
49,0.01278409090909091,0.1282442748091603,0.8522152089693246
50,0.01278409090909091,0.13129770992366413,0.8506377446546701
51,0.013849431818181818,0.13129770992366413,0.8488307331033191
52,0.013849431818181818,0.13435114503816795,0.8458668798328168
53,0.01455965909090909,0.13435114503816795,0.8444474725044591
54,0.01455965909090909,0.13587786259541984,0.8439014385086337
55,0.016690340909090908,0.13587786259541984,0.8386057618223317
56,0.016690340909090908,0.1465648854961832,0.8336966641053065
57,0.018465909090909092,0.1465648854961832,0.8321614573884621
58,0.018465909090909092,0.14961832061068703,0.8313343688484331
59,0.018821022727272728,0.14961832061068703,0.8310017355625625
60,0.018821022727272728,0.15725190839694655,0.8292850182591408
61,0.019176136363636364,0.15725190839694655,0.8292493228468841
62,0.019176136363636364,0.1618320610687023,0.8271923968139508
63,0.01953125,0.1618320610687023,0.8243396182494327
64,0.01953125,0.1633587786259542,0.8243138792083137
65,0.019886363636363636,0.1633587786259542,0.8231225055897228
66,0.019886363636363636,0.1648854961832061,0.8229951756136267
67,0.020596590909090908,0.1648854961832061,0.8228151430070568
68,0.020596590909090908,0.17099236641221374,0.8182831422032973
69,0.020951704545454544,0.17099236641221374,0.8182274628063682
70,0.020951704545454544,0.17404580152671756,0.817521000265432
71,0.02130681818181818,0.17404580152671756,0.8174626688548504
72,0.02130681818181818,0.17709923664122137,0.8165764128303002
73,0.022727272727272728,0.17709923664122137,0.8155855794148256
74,0.022727272727272728,0.17862595419847327,0.8154122228433647
75,0.024857954545454544,0.17862595419847327,0.8108017479525489
76,0.024857954545454544,0.1801526717557252,0.8103192015615684
77,0.02521306818181818,0.1801526717557252,0.8101096397355422
78,0.02521306818181818,0.18167938931297709,0.8100397959992973
79,0.025923295454545456,0.18167938931297709,0.8073639525409286
80,0.025923295454545456,0.183206106870229,0.8072883542298733
81,0.026633522727272728,0.183206106870229,0.8057777521423839
82,0.026633522727272728,0.18625954198473282,0.8043574591143249
83,0.02734375,0.18625954198473282,0.8033920360097849
84,0.02734375,0.19236641221374046,0.8029636780381808
85,0.028053977272727272,0.19236641221374046,0.8018067163137276
86,0.028053977272727272,0.19389312977099238,0.8017449761873797
87,0.028409090909090908,0.19389312977099238,0.8015463906722171
88,0.028409090909090908,0.2015267175572519,0.7955154243485872
89,0.02911931818181818,0.2015267175572519,0.794276358603909
90,0.02911931818181818,0.20305343511450383,0.7937536949323658
91,0.029829545454545456,0.20305343511450383,0.792977479119502
92,0.029829545454545456,0.20610687022900764,0.7923919642841653
93,0.030184659090909092,0.20610687022900764,0.791840579853169
94,0.030184659090909092,0.20763358778625954,0.7914594347620717
95,0.03125,0.20763358778625954,0.7857637285371102
96,0.03125,0.21068702290076335,0.7840432884788915
